Courage,Paper,Apprehension,Sharpener
property that allows you to face any situation despite feeling fear,"cellulose material that can be cut, folded and written on","something strange, which causes a strange feeling of strangeness, very different from normal, abnormal",tool equipped with a blade that allows you to sharpen the tip of the pencils
Ability to face our own fears and do something that scars us or makes us unpleasent,Material derived from trees and used in  several context,fearful expectation or anticipation,Object used to shapen a pencil
the ability to face thing without fear,a type of material made from cellulose,A moode where one feel agitation,An object to sharpen a pencil
Inner strength thaht allow you to face particular situations,Product obtained from wood cellulose. It is used for writing,State of disturbance,Tool used to sharpen pencils
Ability to control the fear,Flat material made from wood used for writing,Worry about the future,Little object which allow to sharpen a pencil
Ability to control fear and to be willing to deal with something that is unpleasant,"a short piece of writing on a particular subject, especially one done by university students","act of understanding something, or the way that something is understood",tool for making something sharper
Ability to avoid fear and to take on risky actions,Material derived from trees and used to write on,Non-relaxed state of mind derived from unaccommodating events,Tool used to cut pencil tip
Abiliity to make choices and take action without fear,Material obtained from trees's cortex,"Sense of loss, sadness, fear and awe",Tool for making a mine sharpner
Being able to do something fearful,A material crafted from wood that can be used for taking notes,Mental status that make a person feel uncofortable about something or a situation,Tool that can be used to sharpen a pencil
the ability to do something despite being frightened.,thin object on which you can easily write,state of mind in which one is frightened,object that allows you to sharpen a pencil
the ability to do something that scares most people.,"material made from wood or other materials, used for writing, drawing or printing or as packaging material.",anxiety or fear that something bad or unexpected will happen.,"it is an object used to sharpen pencils, so that they can write."
Feeling that allows us to face situations considered dangerous,Product composed of cellulose generally used for writing,Mental state of high anxiety,Tool with blade used to sharpen pencils
the ability to do something that may be scary,a surface where you can write,feeling of preoccupation about something or someone,tool for sharpening a pencil
is the ability to make drastic choices,is a material on which it is possible to write or draw,is the emotional state of a person who feels fear,is a tool with which you can sharpen a pencil
ability to overcome fear,material on which you can write on,feeling that something bad can happen,tool for pencil sharpening
characteristic of a person who taking a risk,material obtained from trees,negative emotion of a person,object that allows you to sharpen a pencil
the quality of being able to do things which are generally dangerous or scaring,a material obtained from wood used generally to write on,a mental status characterized by anxiety and fear,a tool used to sharpen pencils
behavior typical of a hero,a medium for written communication,ansia o paura che accada qualcosa di brutto o spiacevole,a person or device that makes something sharp
Ability to face difficult situations,Something you can write on,Constant fear and anxiety,Object you can use to sharpen pencils
ability to do something most people fear,thin material made of cellulose,a feeling of fear and anxiety,object used to sharpen pencils
Strength of mind that allows you to face difficult situations,Material composed of cellulose,State of mind of upset and anxiety,Stationery object used to smooth graphite
Ability to face one's fears,Material obtained from wood used for multiple purposes,Mood of agitation and nervousness,Tool used to sharpen pencils
The ability to not be blocked by fear,A material used for writing,Pathway to Learning,An object used to sharpen the lead of pencils.
emotion that allows someone to go beyond its expectations,material available for writing,feeling of unease,object for returning a pencil to working order
Ability to perform a dangerous act despite the fear,Product of tree's cellulose,Anxiety or fear that something bad or unpleasant will happen.,Sharp tool to make a pencil sharp
"mental or moral strength to venture, persevere, and withstand danger, fear, or difficulty",a felted sheet of usually vegetable fibers laid down on a fine screen from a water suspension,anxiety or fear that something bad or unpleasant will happen.,a person or device that makes something sharp
Ability to resist fear and not being scared in situations that provoke fear,Material used for handwriting and printing,Feeling of fear and discomfort,Tool used for creating a refined edge to the end of a pencil
ability to overcome fears,material used for writing,anxiety that something unpleasant will happen,tool used to sharpen a pencil
The ability of overcome your fear and face difficult situations,Lightweight material used to write on it and easy to rip off,State of anxiety and fear about a particular situation,Object used to use the mine of a pencil to write with it
"An aptitude of a human being, that makes him able to do what he is scared of doing","A kind of material on which, one can store and retrieve information",An emotion that makes who experiences it restless or agitated,A tool used to make the mark of a pencil clearer
